path_index,feature_values,feature_values_normalized,feature_outcomes_normalized,is_critical,is_maxima,is_minima,is_inflection,is_saddle,num_critical,num_maxima,num_minima,num_inflection,num_saddle,feature,fit,lambda,xlabel,ylabel,feature_friendly,feature_description,sensitivity,feature_outcomes,slope
298,255.60200669,-1.790696086,-0.410526621,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,138027.03059,
298,272.64214047,-1.752171319,-0.401306073,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,138756.39305,
298,272.64214047,-1.752171319,-0.401306073,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,138756.39305,
298,289.68227425,-1.713646553,-0.392572547,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,139447.23113,
298,289.68227425,-1.713646553,-0.392572547,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,139447.23113,
298,306.72240803,-1.675121786,-0.384334492,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,140098.87651,
298,306.72240803,-1.675121786,-0.384334492,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,140098.87651,
298,323.76254181,-1.636597019,-0.376600357,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,140710.66089,
298,323.76254181,-1.636597019,-0.376600357,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,140710.66089,
298,340.80267559,-1.598072252,-0.369378592,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,141281.91594,
298,340.80267559,-1.598072252,-0.369378592,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,141281.91594,
298,357.84280936,-1.559547486,-0.362677643,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,141811.97335,
298,357.84280936,-1.559547486,-0.362677643,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,141811.97335,
298,374.88294314,-1.521022719,-0.356505962,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,142300.1648,
298,374.88294314,-1.521022719,-0.356505962,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,142300.1648,
298,391.92307692,-1.482497952,-0.350866207,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,142746.27986,
298,391.92307692,-1.482497952,-0.350866207,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,142746.27986,
298,408.9632107,-1.443973185,-0.345724724,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,143152.9807,
298,408.9632107,-1.443973185,-0.345724724,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,143152.9807,
298,426.00334448,-1.405448419,-0.341033806,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,143524.04102,
298,426.00334448,-1.405448419,-0.341033806,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,143524.04102,
298,443.04347826,-1.366923652,-0.336745715,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,143863.2369,
298,443.04347826,-1.366923652,-0.336745715,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,143863.2369,
298,460.08361204,-1.328398885,-0.332812716,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144174.34444,
298,460.08361204,-1.328398885,-0.332812716,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144174.34444,
298,477.12374582,-1.289874118,-0.32918707,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144461.13971,
298,477.12374582,-1.289874118,-0.32918707,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144461.13971,
298,494.1638796,-1.251349352,-0.325821042,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144727.39882,
298,494.1638796,-1.251349352,-0.325821042,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144727.39882,
298,511.20401338,-1.212824585,-0.322666893,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,144976.89786,
